Palabra,IDF_Colima,IDF_Yucatán,IDF_Morelos,IDF_QR,IDF_Jalisco,IDF_Guerrero,IDF_Tamaulipas,IDF_Chiapas,IDF_BCS,IDF_Veracruz,IDF_NL,IDF_Guanajuato,IDF_Puebla,IDF_Tabasco,IDF_Mexico_City,IDF_Sonora,IDF_Mexico,IDF_Oaxaca,IDF_Coahuila,IDF_Michoacán,IDF_Sinaloa,IDF_Querétaro,IDF_Durango,IDF_Zacatecas,IDF_Chihuahua,IDF_Hidalgo,IDF_BC,IDF_Campeche,IDF_Tlaxcala,IDF_SLP,IDF_Aguascalientes,IDF_Nayarit
oye,7.125776884715576,7.837007622006064,7.307858742570249,7.419718845210075,6.720671310063757,7.178880631611858,7.601162181638596,5.435418510837827,6.955274020906188,7.296056411176489,6.898250383412071,7.196153134048832,7.199569659890266,7.849020175249351,7.056672658053996,7.464810797850407,7.180163777383896,7.669195892883593,7.134787588283177,6.982742409085546,7.7832816418540895,6.809746256588194,7.327184621226641,7.569180834269054,7.383717761243916,7.867253745929133,7.482393539159516,7.532466611111063,6.8971538676367405,7.368285196739672,6.852962839714795,6.8460986968364566
pan,6.789304648094363,6.679554833315021,6.310715914066999,6.975467712066754,7.168976576848414,6.923988381983068,6.9205937832855104,6.859050542395361,6.794931370831009,6.671117480643077,7.221178394925527,6.649609427680763,6.6035862277839685,6.810127121282864,6.655305916338114,6.614965165384405,6.327802615040145,6.50902571121605,7.084777167708515,6.688502936087606,6.792882937826212,6.784212954583029,6.194086156487362,6.912401297879984,6.824101973308493,6.354665659484951,6.998596587781445,6.794867667980284,6.791793351978915,6.749245988333449,6.145216859733697,6.7348730617262325
cámara,7.636602508481567,7.807154658856383,7.854402448938319,8.063269084630647,7.765895725313806,7.840279113857223,8.198999182394216,8.202785289096457,8.144858087780024,7.978274521204244,8.310862052849336,7.87639690977287,7.96967788158634,7.893471937820186,7.429694332238395,7.80128303447162,7.651183150749467,7.8805049865508,7.466144724237619,7.5292861154536155,7.905883963946422,7.593044534142437,7.438410256336865,7.500187962782102,8.451558391245271,8.129618010396625,7.6254943828001895,7.850920342229599,7.841615476477592,8.033261500332921,7.4348843851645166,7.887552571664617
duda,6.720311776607412,6.537724637875804,6.601639480442951,6.645226025196178,6.652108638626461,6.364372594047645,6.694921785617942,6.482999319493491,6.535420175345924,6.602909230616544,6.677707613797919,6.54952596912378,6.558690907876078,6.473654884661651,6.615059035829521,6.607360565999186,6.5101241718341,6.4510384535657,6.720811790507104,6.542791124906212,6.564041365397364,6.751152092322141,6.339797967668756,6.667278839846999,6.659798922017217,6.38915183555612,6.460742291627534,6.634525017905105,6.8971538676367405,6.579827836375402,6.91358746153123,6.683579767338681
aún,5.621699487939302,5.772833552457017,5.941498596351176,5.928911785354698,5.795388866997638,5.912387470304588,6.058933018897945,5.683745632938997,5.856661732238078,5.776230657432076,5.8226276129686605,5.759215040110187,5.831967431782528,5.732240963131871,5.866288697789956,5.95282822156702,5.786284044874749,5.960128139500651,5.885694348676771,5.841205075700402,5.842881148609745,5.84960364218519,5.98116415924469,6.011036216222504,5.93679877830759,5.731722737598254,5.951517949228518,5.905010193174285,5.52484574849159,5.7141471053876645,5.93667210784064,6.123963979403259
gustan,7.348920436029786,7.0708353064312295,7.448937340830155,7.322869019220158,7.264286756652739,7.477373620167855,7.146906909360999,7.22195603608473,7.451710907220079,7.124784690569119,7.300473997596065,7.222470442366206,6.976426108576057,7.400995452722391,7.3629311160787125,7.429719478039138,7.1067812314498715,7.53566450025907,7.084777167708515,6.956766922682285,7.377816533745925,7.452462583521247,7.275891326839091,7.569180834269054,6.957633365933016,7.174106565369188,7.1781821647565245,7.097148539853218,7.590301048196686,7.234753804115149,7.160447539462756,7.1143626834311355
sólo,5.931854416243142,6.091768168412902,5.8037813457939755,6.1791362952715785,6.082218787714853,6.1130581657667395,6.502549892970486,5.942759810521206,6.479850324191113,6.044864534913162,6.612193006687292,6.251691525207981,6.015232830081189,6.014701091602501,5.869091128395659,6.453209886171927,5.986395143232202,6.069327431465643,6.2550544521428195,5.82453802321519,6.340897814083155,5.84960364218519,6.3013316868409595,5.897439038498799,6.4306130562470445,6.1281380101865,6.635095678772313,6.464625981109708,6.491688759528576,6.071602994309469,5.71588427021889,6.015750394763026
café,6.432629704155631,6.3847552930943765,6.802310175905102,6.422082473881968,6.517072354822518,6.6616241175155775,6.6456507366111595,6.176832432367607,6.4272065907056914,6.193787811305269,6.847606650593317,6.711644818600216,6.21874040687854,6.518606272523917,6.530928200727146,6.096534942233195,6.89121347394412,5.9015339752345986,6.153958335271451,6.83613893489367,6.279204245077815,6.457390973793978,6.805887697593355,6.858334076609708,6.586773787002327,6.905842578774509,6.518371404464171,6.752308053561489,6.098646171418969,5.953819958653085,6.508122353423066,6.683579767338681
norte,7.231137400373402,7.441694885361918,7.419084377680473,7.019919474637588,7.407387600293412,8.214972563298634,6.527867700954776,6.755866306160131,7.0950359632813464,6.844071287433432,6.59286873386089,8.043450994436036,6.983861087063574,8.586619118380131,7.05360986852345,7.227482611544241,7.507540448520624,7.578224114677866,6.809365187848549,8.22243329601356,7.109552547151245,7.53798475695941,7.275891326839091,6.401575674113992,6.937430658615496,7.72415290228846,7.263704338194687,7.03999012601327,6.8971538676367405,7.627796392224757,7.121226826309475,7.281416768094302
bendiciones,6.432629704155631,7.043055742324154,6.614711562010304,6.872283475831524,6.833226101355611,6.243419983629983,6.286095329807073,6.610154494978738,5.590958566505073,6.608418886427513,6.543850753310474,6.471054353682285,5.846219454489729,6.873640527005191,6.635986555935476,6.555688555454865,6.158918703699904,6.225081960874876,6.494284141208653,7.186341364326785,7.303708561592203,7.259271354490389,5.760764093876231,6.758250618052725,7.323093139427481,7.21332727852247,7.099401286903411,5.523642636645181,6.353538421047759,5.430571814888538,6.390339317766682,7.194405391104672
