Palabra,Promedio_IDF,STD_IDF,valor_max,Estado_max,Colima,Yucatán,Morelos,QR,Jalisco,Guerrero,Tamaulipas,Chiapas,BCS,Veracruz,NL,Guanajuato,Puebla,Tabasco,Mexico_City,Sonora,Mexico,Oaxaca,Coahuila,Michoacán,Sinaloa,Querétaro,Durango,Zacatecas,Chihuahua,Hidalgo,BC,Campeche,Tlaxcala,SLP,Aguascalientes,Nayarit
interesa,7.663006417192707,0.2673571620882983,3.243357199207904,Chiapas,0.6753310333192745,-0.32536935664733835,-0.3904314885026642,-0.5437311522671686,0.551341999248104,1.5613361834844504,-0.7220603800803426,3.243357199207904,-1.3028275556267195,-0.9428930215333043,-0.603397729088712,-1.3113230681954202,0.7486095992772333,0.42070775146170886,0.9794167706168123,-0.5171981038355165,0.7614728381543974,0.7756838193049108,-0.16569731484196873,-0.6909612143415589,-0.9084385279100948,-0.10895170851768753,-1.538737928884387,-1.099427992836161,1.4851731986668686,-0.22870711455097797,0.5055054553272037,0.13176989911975506,-0.16860467214816935,0.13169658404857684,0.4372293452133517,-0.8398733466423864
hilo,7.810262732643531,0.3364531582810482,2.2682024516777,Aguascalientes,0.516149781589809,-0.4635314515676629,-1.932737154816393,0.005605230907353328,0.4422894154348189,-0.2810343729104734,-1.0232767287393414,-0.5034252197366168,-0.5975986777452571,-0.8413685869134705,0.1469655299599338,-0.693077939835286,0.6509711125805,0.6745239791674408,0.14295320767092956,0.10008023385577897,-0.488830018973482,0.5575422633962459,-0.2904259968084582,0.5518344316759217,0.6973346803054874,1.2061392747267994,0.5281462143900396,-0.435970443504522,1.5341128991814752,-2.0092848144023683,0.6978052208441052,-0.9758852724561953,0.9669167671563991,-2.126522623364793,2.2682024516777,0.9753966072535553
presente,7.257477727610073,0.3134393829193095,2.1131486127507113,Aguascalientes,1.4936638630259016,-1.6612124153750705,1.4521709029211154,-0.01809618451782688,0.3775980950734853,-1.31110240676515,-0.7924156559743407,0.11332874380526539,0.1821125607741347,-0.019599986944983206,-1.003787815356503,0.19565056882793863,-0.029041157745951285,0.1089954038543046,-0.27717321954423574,0.27055742571653485,0.6134293693892315,0.1284680887720596,-2.257719359180561,0.014181334659402741,-0.8216578441760026,-0.8949323047306691,1.4407571435685662,0.6579900169372391,-0.9448049178474714,0.386395254788104,-0.71757355267428,0.5115157714502322,1.7898023860642407,-0.008275553841407412,2.1131486127507113,-1.0923731677040323
lindo,7.156109240957784,0.27733721707320363,2.0830715332731065,Puebla,0.45303164635624743,0.8268392795221746,0.0624756699238656,1.7565860589698739,-1.120303228990788,-0.5802384938924935,-0.8001428431007439,-0.9861141710129853,1.3023058136169372,0.43224616225404827,0.26298857333831577,-0.755261220472287,2.0830715332731065,-0.7841978075343807,0.5207439533168643,-1.380303491490297,1.3199274366078637,0.7340919772429689,-0.0167804154731425,-0.4760083016340989,-1.189601889389731,-1.5080671991530965,0.07204174291753711,-0.027426846217676968,-1.0534000611486265,0.9023911930190635,-1.0196943246435903,0.974516862987179,0.2763199881206753,-1.700771199209336,0.5195181091590405,0.8992154927373749
vino,7.491942072184402,0.23376237405200037,2.652478452667219,BCS,-0.6188354173070854,1.2215878407079577,-0.6744710937647763,-0.39908566073380664,0.334200839110751,1.0539337952611116,-0.25851014531243177,-1.306361256991505,2.652478452667219,0.3399833248862499,-0.10446636651314813,-0.17403698371318643,-0.25250203238705027,0.5062645095476284,-0.4813861118778836,-0.6334330547916028,-0.4116492704464252,-0.7582649749260361,0.11035714387912839,0.21246932455163897,-0.6341427983446054,0.44058798941941796,-1.2610022447629068,-0.3304157155225931,-0.2638351278944137,-0.4579337781975099,2.2260817588852837,0.5412742159623947,-1.4958498163412925,1.6980928263335917,0.8712315745324234,-1.6923617459164388
saliendo,7.896814044401371,0.2971931557616764,1.898431043414456,Coahuila,0.8755636893888334,-1.319608792277319,-1.896827693297629,0.4617447303496742,0.2500038229266589,-0.7777673793167512,-0.3277017773078574,0.5167046471504119,1.497689729901541,0.006464254303751272,0.1882803143779063,0.23697569690884482,-0.599691982764623,-0.6639742034948029,-0.005210437102982697,-0.5362210959758238,-1.2681944802131606,-0.5984221141788484,1.898431043414456,0.915962376205345,0.3820155355068956,0.47154547054748547,-1.44316717468534,-1.7485754304234846,1.0278060327343503,-1.1378609335278906,-0.32438539264829114,-0.2948846188201858,1.3858781868879848,0.05956807400337245,1.3723816651203409,1.3954782363073408
volver,6.867686048466166,0.17588672573198225,3.0153868741808125,Colima,3.0153868741808125,0.5005935281797782,0.18827464213134273,-0.674927193275922,-0.16417343572167578,0.22177822757849017,-0.08890005744912918,-0.6051270968348524,-1.2925927972621318,0.5556003887147646,-0.17377283486690764,0.7490533282066214,-0.6182391516889656,0.9087540611068208,-1.0051431440221823,0.06966158508696037,-0.7255881078544697,0.3751887643178559,-1.3746559373738796,-0.36252347052609485,1.040537280562429,-1.783100818150505,-0.01557917604842623,-1.0435790052043528,1.676638769704245,0.7070596070958578,-0.9828754142466578,0.1612777644077163,-0.8371914038091787,0.12275078777519247,1.677358951778379,-0.22194551649230382
santa,6.796898471000054,0.35507807421964444,3.3489131000469725,Oaxaca,-0.6577940201588349,-0.2646332252102092,0.9577891825142247,-1.6601530670062892,-0.37989447168081,0.7366494802125346,-0.9857224756278169,-0.30022646202648684,1.1124586871401902,-0.6979972290325589,0.825823154958381,-0.4166414248274871,-0.13475857022702,-1.624144235888497,0.5942242982073574,-0.5762891676797385,-0.10940670306543207,3.3489131000469725,-1.0998506501051055,0.0752440261395968,0.24291455224424452,0.24105202049779767,0.6031189765562287,0.851171603553008,-0.12735792800077086,-1.287747217418511,-1.0738024154108035,0.3510020307111548,1.590413342749055,0.0011253801489652078,-0.1578930741864427,0.022412501873102838
ustedes,5.87736444006345,0.23140704559966033,2.7978042113526764,BC,0.9083672344663422,-0.6177200179747591,0.003559701412339075,0.2898939706595253,0.17945211727250773,1.1600463988305565,-0.6706011187307104,0.1463204698449949,-0.16860561343387423,-0.11632378849471897,-0.24382865117561975,-0.6272117557969996,-1.3132395030274555,-1.7182698511721592,0.6612824846143543,-0.1429006729254637,0.9399117083331487,-1.5514526583882324,-0.5768754845877682,1.24228625752947,0.7290402632991175,-0.010337802318110363,0.45612487609058644,-1.0582971258919978,0.499151229180902,-0.3843035307856971,2.7978042113526764,-2.2758033052326208,0.25984830291940963,-0.39083408342216874,0.4025846560793715,1.1909310814730925
total,7.201262999935248,0.21824175185499647,2.889506661384896,Zacatecas,-0.13688673310322036,-1.4918762839811899,1.205778823870176,-0.8482310256115956,-0.4441189990885468,-1.2651594751496462,2.1790952079899397,0.31579256468760325,-0.5357201986629454,-0.2372416172316608,0.3585215423579979,0.6870400026136826,0.1743982711481595,1.0267595090516923,0.4022729048951618,-0.38584216147279793,0.8853329279515755,-0.5097922284070284,0.5337467795993865,-0.9172843523611957,-0.5798299920177166,-0.08370545851265213,0.09476579400913068,2.889506661384896,-0.9814962435124178,0.2973618109152008,-1.1874521272981593,-1.5175996726596683,0.241909275236568,0.8690030460363849,-1.0704706282988892,0.031422075621591425
