Palabra,IDF_Norte,IDF_Sur,Diferencia_IDF
tumba,8.918788047453045,7.904817634994794,1.0139704124582511
cuadras,9.544252339530244,8.533426294417168,1.0108260451130757
ayudando,9.544252339530244,8.533426294417168,1.0108260451130757
honesta,9.544252339530244,8.533426294417168,1.0108260451130757
apreciar,9.698403019357501,8.688029289378163,1.0103737299793387
facebook,7.569690057511281,6.5595506562676675,1.0101394012436131
dictador,9.091831451593617,8.083752265523321,1.0080791860702956
marcador,8.948208297464511,7.941129608367235,1.007078689097276
regresamos,9.49729655970178,8.490467361548237,1.006829198153543
cuckold,9.49729655970178,8.490467361548237,1.006829198153543
guerreros,9.544252339530244,8.53904546232733,1.0052068772029141
75,9.520774449616013,8.516493753270797,1.0042806963452158
rol,9.31804189556193,8.315823057808647,1.0022188377532828
caribe,9.410720946905721,8.41113323761297,0.9995877092927508
abasto,9.410720946905721,8.41113323761297,0.9995877092927508
nacer,9.410720946905721,8.41113323761297,0.9995877092927508
institucional,9.410720946905721,8.41113323761297,0.9995877092927508
córdova,8.851105158970299,7.85447859482824,0.9966265641420584
whats,9.198595941420756,8.202785289096457,0.9958106523242982
socios,9.410720946905721,8.415643258760785,0.9950776881449368
volar,8.609268443249931,7.617135562543013,0.9921328807069179
dolió,9.376933413390123,8.38510684589041,0.9918265674997127
molestar,9.376933413390123,8.38510684589041,0.9918265674997127
tenerte,9.376933413390123,8.38510684589041,0.9918265674997127
tradiciones,9.092267215787187,8.10131109365038,0.9909561221368062
iberdrola,9.59784978952964,8.608250397204621,0.9895993923250188
recuerdan,9.192384681421476,8.202785289096457,0.9895993923250188
hazme,9.59784978952964,8.608250397204621,0.9895993923250188
escribo,9.520774449616013,8.533426294417168,0.9873481551988448
amada,9.520774449616013,8.533426294417168,0.9873481551988448
amix,9.376933413390123,8.390887543036962,0.9860458703531609
cabrones,8.554042294306084,7.568345398373581,0.9856968959325032
beber,9.150940851518595,8.166311178136013,0.9846296733825817
climático,9.39511723547556,8.41113323761297,0.9839839978625893
capa,9.39511723547556,8.41113323761297,0.9839839978625893
diariamente,9.698403019357501,8.714679382036785,0.9837236373207165
ii,9.292937911249338,8.31028274310296,0.982655168146378
motel,9.10743516302378,8.125351883865962,0.982083279157818
mágico,8.093057141021292,7.11163732496498,0.9814198160563121
traerá,9.49729655970178,8.516493753270797,0.980802806430983
2012,9.410720946905721,8.434871488069072,0.9758494588366489
electorales,9.25127619924967,8.279086446559527,0.9721897526901433
gestión,9.048543645195586,8.077018029750812,0.971525615444774
asesinado,9.698403019357501,8.727692577898065,0.9707104414594365
esencial,9.698403019357501,8.727692577898065,0.9707104414594365
fundación,9.198595941420756,8.228811680819016,0.96978426060174
fundamental,9.292937911249338,8.326923873766926,0.9660140374824113
montañas,9.376933413390123,8.41113323761297,0.9658001757771526
gastronomía,9.20961448725,8.24515212987627,0.9644623573737299
asistente,9.49729655970178,8.533426294417168,0.9638702652846121
codigo,9.49729655970178,8.533426294417168,0.9638702652846121
amlovers,9.49729655970178,8.533426294417168,0.9638702652846121
bloqueó,9.091831451593617,8.127961186309005,0.9638702652846121
volante,9.59784978952964,8.634276788927181,0.9635730006024588
frecuencia,9.59784978952964,8.634276788927181,0.9635730006024588
cierta,8.763578514113542,7.800058100795386,0.9635204133181556
riqueza,9.45400875330375,8.491082702132859,0.962926051170891
cuadro,9.45400875330375,8.491390372425169,0.9626183808785811
only,9.20961448725,8.24729323767281,0.9623212495771902
circunstancias,9.25127619924967,8.289796666086087,0.9614795331635833
sirena,9.376933413390123,8.415643258760785,0.9612901546293386
ponerte,9.376933413390123,8.415643258760785,0.9612901546293386
inocentes,9.008522291358819,8.048634609269197,0.9598876820896223
fgr,9.17420085933604,8.214972563298634,0.9592282960374057
encuentros,9.343145879874523,8.38510684589041,0.9580390339841127
fantasía,9.17420085933604,8.21651266226294,0.9576881970731002
700,9.342436977646646,8.38510684589041,0.957330131756235
completos,9.342436977646646,8.38510684589041,0.957330131756235
sunday,9.698403019357501,8.741781789829144,0.9566212295283574
síndrome,9.698403019357501,8.741781789829144,0.9566212295283574
encargada,9.698403019357501,8.741781789829144,0.9566212295283574
beto,9.698403019357501,8.741781789829144,0.9566212295283574
soberbia,9.698403019357501,8.741781789829144,0.9566212295283574
anima,9.698403019357501,8.741781789829144,0.9566212295283574
emocionados,9.698403019357501,8.741781789829144,0.9566212295283574
salvación,9.698403019357501,8.741781789829144,0.9566212295283574
rompiendo,9.698403019357501,8.741781789829144,0.9566212295283574
habitual,9.698403019357501,8.741781789829144,0.9566212295283574
cuentos,9.698403019357501,8.741781789829144,0.9566212295283574
03,8.936971869538482,7.981124005600219,0.9558478639382626
despedida,9.265361637733017,8.31028274310296,0.9550788946300575
sede,9.31016771707786,8.35576737115102,0.9544003459268406
aprueba,9.544252339530244,8.591725720156244,0.9525266193739998
siete,8.955842033529905,8.005668129504805,0.9501739040250996
comunicado,8.936971869538482,7.989563274928316,0.9474085946101658
ligas,8.69052790799882,7.743252959718016,0.9472749482808043
falleció,9.698403019357501,8.754794985690424,0.9436080336670774
cansancio,9.698403019357501,8.754794985690424,0.9436080336670774
nene,9.698403019357501,8.754794985690424,0.9436080336670774
colón,9.698403019357501,8.754794985690424,0.9436080336670774
maestría,8.991713985959326,8.048634609269197,0.9430793766901289
buscamos,9.59784978952964,8.658007798103688,0.9398419914259524
xq,8.465639222106176,7.52746515455502,0.9381740675511567
masculino,9.544252339530244,8.608250397204621,0.936001942325623
